iter	RMSE
0	13.01813071
1	12.05023301
2	11.1100097
3	10.33376134
4	9.544928987
5	8.834359558
6	8.176390287
7	7.670889193
8	7.105815443
9	6.60565968
10	6.142687177
11	5.724727335
12	5.335922254
13	4.971465615
14	4.644972297
15	4.359900725
16	4.071844342
17	3.827330031
18	3.602637145
19	3.360377943
20	3.153173769
21	2.973420829
22	2.798044517
23	2.636803717
24	2.485289458
25	2.357837771
26	2.241921883
27	2.121749322
28	2.012923608
29	1.909640878
30	1.816109212
31	1.729337747
32	1.649087772
33	1.587326401
34	1.522773043
35	1.457316968
36	1.400732591
37	1.34886164
38	1.308975096
39	1.265391752
40	1.224810367
41	1.193309149
42	1.162765724
43	1.133145149
44	1.099456412
45	1.081119574
46	1.052898919
47	1.030150553
48	1.008672746
49	0.9882694914
50	0.9672546121
51	0.9537029215
52	0.9364498589
53	0.9279701742
54	0.9156851834
55	0.9043654099
56	0.9003732311
57	0.8885828561
58	0.8777508834
59	0.8690197951
60	0.8609127899
61	0.856316926
62	0.8511995295
63	0.8487342374
64	0.8390028541
65	0.8341304509
66	0.8283629197
67	0.824602015
68	0.8162163694
69	0.8106097925
70	0.8046518569
71	0.8033265376
72	0.7990678294
73	0.7975490719
74	0.7946208796
75	0.7900174163
76	0.7835615891
77	0.7785663582
78	0.7774391151
79	0.7732231771
80	0.7722062584
81	0.7694843801
82	0.7627369438
83	0.7618866969
84	0.7602647681
85	0.7541345822
86	0.7509340986
87	0.7468375952
88	0.7455070108
89	0.7424305388
90	0.7361413765
91	0.7331940468
92	0.7311461665
93	0.7305866619
94	0.7252820018
95	0.723228123
96	0.7182631904
97	0.7157363708
98	0.7116801004
99	0.7072639803
100	0.7031941601
101	0.6985057021
102	0.6967375922
103	0.6925132937
104	0.6887136084
105	0.6861837396
106	0.6847597414
107	0.6811116114
108	0.6750544814
109	0.6737214275
110	0.669323645
111	0.6662284895
112	0.662694398
113	0.6612032313
114	0.6560243646
115	0.652605164
116	0.6498189736
117	0.6451296577
118	0.6395989377
119	0.6378361737
120	0.6355026421
121	0.634504469
122	0.6314063097
123	0.6281995795
124	0.6240085452
125	0.6229553613
126	0.6192347714
127	0.6165318479
128	0.6145657799
129	0.6125237651
130	0.6115402331
131	0.6091945542
132	0.6079732849
133	0.6052399067
134	0.6027580628
135	0.6004956475
136	0.5958525085
137	0.5921663911
138	0.5891847389
139	0.5862460046
140	0.5838078294
141	0.5804032207
142	0.5790808344
143	0.5767495047
144	0.5748477867
145	0.5710719626
146	0.5682098591
147	0.5676113091
148	0.5653602065
149	0.5627990712
150	0.5611686077
151	0.5601410559
152	0.5587100436
153	0.557584985
154	0.5555410895
155	0.5504798585
156	0.5497082543
157	0.5481758515
158	0.5467551519
159	0.5460055248
160	0.5415463582
161	0.5393773169
162	0.5380529156
163	0.5337804696
164	0.532399025
165	0.5316798401
166	0.5288698
167	0.5284402579
168	0.5274245647
169	0.5235242382
170	0.5213030759
171	0.5187206145
172	0.5156724664
173	0.512310811
174	0.5117056521
175	0.5101388597
176	0.5096250968
177	0.5087261047
178	0.5072719387
179	0.5042410334
180	0.502133276
181	0.5009345214
182	0.4974691194
183	0.4963502219
184	0.4945750877
185	0.4941881643
186	0.4923341538
187	0.4913020934
188	0.4886220283
189	0.487187303
190	0.4850341056
191	0.4829770464
192	0.4826216165
193	0.481636747
194	0.4807402664
195	0.4790430751
196	0.4785433742
197	0.4762060571
198	0.4730026958
199	0.4719024436
200	0.4692164378
201	0.4682147574
202	0.465490841
203	0.4646259512
204	0.4632869953
205	0.4605055271
206	0.4588096383
207	0.4584689783
208	0.4565868138
209	0.4553737296
210	0.4541141092
211	0.4538042594
212	0.4528019965
