iter	Passed	Remaining
0	136	136464
1	140	70103
2	144	47965
3	147	36847
4	151	30209
5	155	25801
6	159	22681
7	163	20318
8	167	18483
9	173	17166
10	180	16192
11	185	15303
12	188	14330
13	200	14097
14	205	13516
15	208	12806
16	210	12177
17	219	11967
18	220	11400
19	222	10887
20	223	10422
21	225	10018
22	226	9640
23	231	9405
24	232	9081
25	234	8778
26	235	8497
27	239	8321
28	240	8067
29	242	7855
30	244	7639
31	245	7435
32	247	7241
33	251	7135
34	252	6960
35	257	6901
36	260	6768
37	261	6620
38	263	6489
39	268	6436
40	270	6333
41	273	6246
42	275	6127
43	277	6036
44	280	5949
45	283	5886
46	285	5790
47	286	5691
48	288	5602
49	290	5514
50	291	5424
51	294	5364
52	298	5326
53	301	5279
54	303	5217
55	306	5169
56	309	5117
57	310	5045
58	311	4975
59	314	4927
60	315	4861
61	318	4815
62	321	4784
63	323	4725
64	324	4671
65	326	4615
66	327	4561
67	329	4517
68	333	4496
69	334	4445
70	336	4396
71	337	4352
72	338	4304
73	340	4257
74	343	4231
75	346	4218
76	348	4179
77	350	4139
78	351	4098
79	352	4058
80	357	4050
81	358	4013
82	359	3970
83	360	3935
84	363	3908
85	364	3872
86	367	3855
87	369	3833
88	371	3801
89	372	3770
90	374	3745
91	376	3712
92	379	3698
93	382	3682
94	383	3652
95	384	3623
96	386	3594
97	387	3570
98	390	3551
99	392	3528
100	393	3503
101	394	3477
102	401	3498
103	403	3473
104	404	3448
105	405	3423
106	408	3408
107	410	3388
108	413	3380
109	415	3360
110	416	3337
111	418	3315
112	420	3298
113	421	3279
114	424	3268
115	427	3258
116	428	3235
117	430	3214
118	432	3199
119	433	3180
120	435	3163
121	438	3154
122	440	3138
123	441	3120
124	443	3101
125	444	3085
126	445	3065
127	448	3053
128	452	3053
129	453	3036
130	454	3018
131	456	3000
132	457	2985
133	459	2968
134	462	2962
135	464	2951
136	465	2935
137	467	2919
138	469	2905
139	470	2889
140	473	2883
141	475	2874
142	477	2858
143	478	2843
144	480	2832
145	481	2818
146	483	2805
147	486	2799
148	488	2792
149	490	2778
150	491	2765
151	494	2757
152	495	2743
153	498	2739
154	500	2728
155	502	2717
156	503	2705
157	506	2697
158	508	2687
159	511	2685
160	513	2674
161	514	2663
162	516	2651
163	518	2644
164	520	2632
165	522	2625
166	526	2623
167	527	2612
168	529	2602
169	531	2593
170	532	2583
171	534	2572
172	536	2566
173	539	2562
174	541	2550
175	542	2539
176	544	2534
177	546	2522
178	548	2516
179	552	2516
180	553	2505
181	555	2495
182	557	2488
183	558	2477
184	560	2467
185	563	2468
186	565	2458
187	567	2449
188	568	2440
189	570	2430
190	571	2421
191	574	2417
192	576	2410
193	577	2400
194	579	2391
195	581	2386
196	582	2376
197	586	2375
198	588	2369
199	589	2359
200	591	2351
201	594	2348
202	595	2339
203	598	2335
204	601	2332
205	603	2326
206	605	2318
207	606	2310
208	609	2304
209	611	2300
210	612	2291
211	614	2283
212	616	2276
213	617	2267
214	618	2259
215	622	2257
216	624	2254
217	626	2246
218	627	2238
219	629	2230
220	630	2223
221	632	2215
222	636	2216
223	637	2209
224	639	2201
225	640	2193
226	641	2186
227	643	2178
228	647	2179
229	650	2177
230	652	2170
231	653	2164
232	656	2160
233	658	2156
234	661	2154
235	663	2147
236	664	2139
237	665	2132
238	668	2128
239	669	2121
240	673	2122
241	675	2117
242	677	2109
243	678	2103
244	681	2100
245	683	2094
246	686	2091
247	688	2089
248	690	2082
249	691	2074
250	694	2073
251	696	2066
252	700	2066
253	702	2062
254	703	2055
255	705	2050
256	707	2045
257	708	2039
258	711	2036
259	715	2035
260	717	2030
261	718	2023
262	720	2018
263	722	2013
264	724	2009
265	727	2007
266	729	2001
267	730	1995
268	732	1991
269	733	1984
270	735	1978
271	739	1977
272	741	1974
273	742	1968
274	744	1961
275	746	1957
276	748	1952
277	751	1952
278	754	1949
279	755	1943
280	756	1936
281	759	1933
282	760	1927
283	763	1925
284	766	1923
285	768	1917
286	769	1911
287	771	1906
288	772	1900
289	774	1895
290	777	1894
291	778	1888
292	780	1883
293	781	1877
294	783	1873
295	785	1867
296	788	1866
297	792	1865
298	793	1860
299	794	1854
300	796	1850
301	798	1845
302	800	1841
303	804	1841
304	805	1836
305	807	1831
306	808	1825
307	810	1820
308	812	1815
